,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
MLPH,2.5139909,1.0941845,0.17921753,0.21238603,1.7231127,0.103737384,0.33429095,0.4528107,0.36705485,0.51243925,0.40557048,0.015360148,0.8098006,1.6219804,0.22560304,0.0,0.13055584,0.49185684,0.7633421,0.45501572,1.4314137,0.5525329,0.3654008,0.0,0.035446834,0.31200624
NUPR1,2.452769,0.80602306,0.15517482,0.18149595,0.94858134,0.42294905,0.40978837,0.45527378,0.2705692,0.43015942,0.7832685,0.27387047,1.1684144,0.93856126,0.48703507,0.38995343,0.581772,0.16531909,1.7015738,0.6925189,1.1665632,0.041109864,0.11131081,0.3105727,0.04199061,0.36693844
NOP53,2.4357677,0.9884216,0.5467526,0.55696744,0.5323607,0.43217263,0.52317005,0.5143876,0.2746165,0.41075984,0.37844363,0.43904287,0.9387543,0.26225704,0.7001748,0.38062808,0.64381784,0.22028248,1.3489993,0.6598361,1.4611843,0.5062247,0.23096584,0.25778252,0.28901285,0.5013152
KLK4,2.4354682,0.6728127,0.0,0.2593225,2.0854836,0.0,0.636392,0.51883847,0.42729244,1.2900454,0.42903697,0.10321004,0.79685956,1.7094835,0.0071960045,0.11006941,0.33758122,0.8032555,1.4993647,0.2557537,1.1910219,0.6354194,0.011547759,0.17629896,0.0,0.4895562
HSP90AA1,2.4023356,0.8416651,0.4805422,0.43108073,0.7116978,0.42045882,0.3276096,0.58544135,0.6192837,0.5933021,0.7210023,0.753008,1.869616,0.47742373,0.6380549,0.22858377,0.8701193,0.26084912,1.3939406,0.36245286,0.6156606,0.23774031,0.3431029,0.4859662,0.09816758,0.25460255
BEX3,2.3981755,0.82937545,0.072564006,0.29758534,0.50976646,0.24152356,0.38865873,0.44759396,0.2838568,0.5362391,0.51260775,0.58626735,1.2367553,0.1879143,0.31536698,0.52487934,1.2112149,0.11366832,1.248893,0.27479532,0.12945049,0.23839453,0.05932296,0.5413221,0.039935295,0.116062425
NKX3-1,2.3941507,0.6681307,0.20312753,0.035158724,1.3169495,0.22139084,0.526178,0.54069585,0.29512867,1.1707263,0.3576048,0.0,0.4668348,1.1712288,0.19345444,0.0,0.2617415,0.36642998,0.85872257,0.458922,1.8939276,0.12749323,0.07426389,0.0,0.0728239,0.6847407
NCL,2.388444,0.5444961,0.5006134,0.51033145,0.52765274,0.38539645,0.39003405,0.44690356,0.26773956,0.07031041,0.6699099,0.4905875,1.1988813,0.38257813,0.4219459,0.22016944,0.3034277,0.42447224,1.1721988,0.69802815,1.2809254,0.17293946,0.31752524,0.19354954,0.24349359,0.32091165
OAZ1,2.3565311,0.70729786,0.5311439,0.557968,0.8207672,0.457936,0.69580954,0.5303471,0.3798465,0.29734832,0.8127948,0.6391166,1.4048415,0.7366209,0.7324536,0.37330773,0.51060855,0.26495415,1.2118509,0.38090613,0.7181212,0.4812899,0.32477883,0.49851483,0.17507933,0.10263004
FTH1,2.3457017,0.55408967,0.79031,0.57491744,1.4628885,0.29182896,0.50166774,0.7589811,0.37524498,0.5107422,0.71524185,1.2346796,1.7112987,0.65632975,1.0750452,0.37949944,0.49945286,0.43726006,2.1277175,0.07647357,1.0545349,0.51615345,0.2730875,0.37534383,0.1927914,0.2201126
MYL9,2.3454967,0.46126527,0.4073518,0.2821488,0.20124131,0.02822327,0.41948646,1.4109386,0.41533634,0.49342698,1.084466,0.9763546,5.1332216,0.0,2.4151895,1.3375955,2.190602,0.441101,5.5317845,0.08918082,1.1845309,0.5476809,0.21451102,1.6708264,0.16412838,0.0
MYH9,2.3433304,0.8620472,0.6438184,0.5532766,0.12024683,0.35427877,0.33047193,0.6235117,0.30434644,0.25428265,0.5766487,0.45519862,1.3460283,0.0,0.6391657,0.27340063,0.5921738,0.23867863,1.1542462,0.16873723,0.9706367,0.4349079,0.2842998,0.4148217,0.62383425,0.121824995
GABARAP,2.3388054,0.60455364,0.4341143,0.543174,1.044081,0.4262396,0.53073573,0.62008846,0.43200952,0.62399703,0.33598813,0.72481394,1.4109764,0.7308003,0.811131,0.28884593,0.6631679,0.16886379,1.2386361,0.6338827,0.9701398,0.39930457,0.0,0.22554663,0.10975557,0.0
